year,bin_id,proba_list
2024,0,"[0.004449635744094849, 0.006255835294723511, 0.003990769386291504, 0.019304633140563965, 0.09699130058288574, 0.04731643199920654, 0.015294164419174194, 0.06261646747589111, 0.030802518129348755, 0.05193665623664856, 0.021587133407592773, 0.0564022958278656, 0.08939528465270996, 0.0659106969833374, 0.027203649282455444, 0.04229140281677246, 0.07720962166786194, 0.07457101345062256, 0.06228882074356079, 0.01875445246696472, 0.03858557343482971, 0.03396078944206238, 0.031618714332580566, 0.0342104434967041, 0.02257561683654785, 0.09237706661224365, 0.05514180660247803, 0.07901951670646667, 0.0934692919254303, 0.030058950185775757, 0.04309168457984924, 0.01525866985321045]"
2024,1,"[0.11481666564941406, 0.16503122448921204, 0.126123309135437, 0.1046576201915741, 0.1552894413471222, 0.12436315417289734, 0.11374473571777344, 0.18487492203712463, 0.15493741631507874, 0.10322758555412292, 0.1550205945968628, 0.1152411699295044, 0.19119390845298767, 0.156040221452713, 0.14451739192008972, 0.17104336619377136, 0.17816945910453796, 0.19962537288665771, 0.14169016480445862, 0.176560640335083, 0.11817115545272827, 0.13007289171218872, 0.12490028142929077, 0.1578746736049652, 0.12844538688659668, 0.18573075532913208, 0.16438761353492737, 0.1957320272922516, 0.13356232643127441, 0.1933821737766266, 0.14182808995246887, 0.14430224895477295, 0.16262048482894897, 0.11903306841850281, 0.1665080487728119, 0.15492847561836243, 0.11111155152320862, 0.14644169807434082, 0.16573002934455872, 0.12137630581855774, 0.10084080696105957, 0.18112868070602417, 0.1292959749698639, 0.16036325693130493, 0.1130577027797699]"
2024,2,"[0.2270391285419464, 0.20847266912460327, 0.2551826238632202, 0.2687828540802002, 0.24620112776756287, 0.2966746389865875, 0.2750861346721649, 0.22178375720977783, 0.29356062412261963, 0.2543874680995941, 0.2984837293624878, 0.23904049396514893, 0.2307843267917633, 0.28242161870002747, 0.20317617058753967, 0.27822789549827576, 0.26258111000061035, 0.296596884727478, 0.2513810396194458, 0.27582550048828125, 0.22193005681037903, 0.21762263774871826, 0.2830924689769745, 0.23202186822891235, 0.2446286976337433, 0.21090099215507507, 0.200359046459198, 0.21612241864204407, 0.2682758867740631, 0.22851869463920593, 0.27299702167510986, 0.24371635913848877, 0.2383551299571991, 0.2868579626083374, 0.2712816894054413, 0.2744304835796356, 0.27317944169044495]"
2024,3,"[0.3993886709213257, 0.3744601011276245, 0.37485432624816895, 0.39709940552711487, 0.319839745759964, 0.3611506521701813, 0.3576018214225769, 0.3802093267440796, 0.31318381428718567, 0.3394526243209839, 0.3101860284805298, 0.3711836636066437, 0.3404007852077484, 0.30428245663642883, 0.3884297311306, 0.39301711320877075, 0.36399805545806885, 0.36899131536483765, 0.37674596905708313, 0.32931506633758545, 0.3527781069278717, 0.38115793466567993, 0.3913063704967499, 0.301019549369812, 0.3759044408798218, 0.3241046667098999, 0.30463334918022156, 0.39497095346450806, 0.33119669556617737, 0.3568665683269501, 0.3641466498374939, 0.3536815941333771, 0.3043067157268524, 0.39152663946151733, 0.392004132270813, 0.36346352100372314, 0.3863738775253296, 0.30119219422340393, 0.30201613903045654, 0.3380132019519806, 0.32172179222106934, 0.35848018527030945, 0.36921679973602295, 0.3431599736213684, 0.3307156264781952, 0.33477911353111267, 0.3682655096054077, 0.3586292266845703, 0.3837932050228119, 0.3618462085723877, 0.3350161612033844, 0.35221153497695923, 0.386552095413208]"
2024,4,"[0.4615844786167145, 0.40161964297294617, 0.4006074368953705, 0.4153362512588501, 0.4873003661632538, 0.4041605591773987, 0.41837966442108154, 0.4176342487335205, 0.47258588671684265, 0.48603326082229614, 0.4138708710670471, 0.4636278748512268, 0.4527090787887573, 0.41410571336746216, 0.4636366367340088, 0.49062690138816833, 0.4364602267742157, 0.4733988046646118, 0.482837438583374, 0.4141544997692108, 0.47296342253685, 0.4171631634235382, 0.46042487025260925, 0.45101433992385864, 0.472917377948761, 0.42501434683799744, 0.4742131233215332, 0.45877689123153687, 0.4834054410457611, 0.4880483150482178, 0.4753117263317108, 0.4130551517009735, 0.42861679196357727, 0.43060436844825745, 0.4432269334793091, 0.4003121256828308, 0.43543297052383423, 0.4028319716453552, 0.47872743010520935, 0.4079728424549103, 0.46619826555252075, 0.4761834740638733, 0.4085831046104431, 0.4611493647098541, 0.4037165343761444]"
2024,5,"[0.5324265956878662, 0.5449607372283936, 0.580819845199585, 0.5978530645370483, 0.5777833461761475, 0.5606780052185059, 0.534763753414154, 0.584648847579956, 0.5080862641334534, 0.5760031938552856, 0.5380382537841797, 0.5020768642425537, 0.5515227317810059, 0.53094881772995, 0.57689368724823, 0.5172374844551086, 0.5859959125518799, 0.5092748999595642, 0.5970296859741211, 0.5859599113464355, 0.5418531894683838, 0.587296724319458, 0.5364277362823486, 0.5172610282897949, 0.5614818930625916, 0.5946812629699707, 0.5619880557060242, 0.5158874988555908, 0.5535933375358582, 0.5800241231918335, 0.5670053362846375, 0.5778792500495911, 0.5167608857154846, 0.5827549695968628, 0.545487642288208, 0.5258158445358276, 0.5891070365905762, 0.5737977027893066, 0.5480751991271973, 0.5902786254882812, 0.5766324400901794, 0.5481423139572144, 0.5196725130081177, 0.5362225770950317, 0.5142097473144531, 0.5363521575927734, 0.5750084519386292, 0.5279154181480408, 0.5438961386680603]"
2024,6,"[0.6361975073814392, 0.6108834147453308, 0.6050094366073608, 0.6940284371376038, 0.6110295057296753, 0.6840304136276245, 0.6242552995681763, 0.6651524305343628, 0.6987457275390625, 0.6516865491867065, 0.6414744853973389, 0.666122555732727, 0.625942587852478, 0.6581841111183167, 0.6567205786705017, 0.6215528845787048, 0.6423370838165283, 0.68202143907547, 0.6243548393249512, 0.6878612041473389, 0.6349067091941833, 0.6208019256591797, 0.6030008792877197, 0.6141761541366577, 0.6049702167510986, 0.6829786896705627, 0.6363204121589661, 0.6171978712081909, 0.6279377937316895, 0.6393629312515259, 0.6065186858177185, 0.6653580069541931, 0.6221529245376587, 0.6338763236999512, 0.6294680237770081, 0.6086662411689758, 0.6994449496269226, 0.6255069971084595, 0.6808828115463257, 0.666216254234314, 0.6757387518882751, 0.6835921406745911, 0.6141984462738037, 0.6327069401741028, 0.642498254776001, 0.6030615568161011, 0.646003782749176, 0.6366165280342102, 0.6236217021942139, 0.6644564867019653]"
2024,7,"[0.7796885967254639, 0.7427875995635986, 0.7200107574462891, 0.7776412963867188, 0.753523588180542, 0.7491441965103149, 0.7552016377449036, 0.7395408749580383, 0.7439181208610535, 0.7499697208404541, 0.7946845293045044, 0.7079406380653381, 0.7673529982566833, 0.737911581993103, 0.7948858141899109, 0.7810222506523132, 0.7596868276596069, 0.7040584087371826, 0.7169857025146484, 0.7455604672431946, 0.7834287881851196, 0.7560175061225891, 0.7372321486473083, 0.7729918360710144, 0.7644492387771606, 0.7797743082046509, 0.7304339408874512, 0.7483493089675903, 0.7944983243942261, 0.7049638032913208, 0.7333186268806458, 0.7338546514511108, 0.7531044483184814, 0.7519823908805847, 0.7347241044044495, 0.7314143180847168, 0.702171802520752, 0.7149545550346375, 0.7846161127090454, 0.703427791595459, 0.7724369168281555, 0.7470778822898865, 0.785662829875946, 0.7299824953079224, 0.7638899087905884, 0.7446959018707275, 0.7052077054977417, 0.7305384874343872]"
2024,8,"[0.8380577564239502, 0.8088975548744202, 0.8077256679534912, 0.8637438416481018, 0.8890460729598999, 0.8278953433036804, 0.8137622475624084, 0.86705082654953, 0.8091332316398621, 0.8531665802001953, 0.8430128693580627, 0.8046620488166809, 0.8597865700721741, 0.8513792753219604, 0.826758086681366, 0.8218672275543213, 0.8075516819953918, 0.8754763007164001, 0.817341685295105, 0.8472118377685547, 0.8054264187812805, 0.8720187544822693, 0.8206194639205933, 0.890466034412384, 0.8996262550354004, 0.8492347598075867, 0.8975991606712341, 0.8572213649749756, 0.8023664951324463, 0.822497546672821, 0.8764508366584778, 0.8529703617095947, 0.8782839775085449, 0.8541070222854614, 0.8284188508987427, 0.8605747818946838, 0.8211274743080139, 0.819572389125824, 0.8273169994354248, 0.8448693156242371, 0.8346283435821533, 0.8291859030723572, 0.8915254473686218, 0.8468073010444641, 0.8161492943763733, 0.8133291006088257, 0.8410388231277466, 0.8299115896224976, 0.8656401634216309, 0.8750744462013245, 0.8965201377868652, 0.8956920504570007, 0.8355728387832642, 0.8406859636306763, 0.819084644317627, 0.8807159662246704, 0.88338303565979, 0.8317345380783081, 0.8306525945663452, 0.8997852802276611, 0.8756784200668335, 0.826029360294342, 0.8318730592727661, 0.827646017074585, 0.8003532290458679, 0.8509740233421326, 0.8921946287155151, 0.8248935341835022, 0.8730104565620422, 0.8477492928504944]"
2024,9,"[0.9921209216117859, 0.9840902090072632, 0.9660329818725586, 0.9526398777961731, 0.910269021987915, 0.9825391173362732, 0.9178252816200256, 0.953739583492279, 0.9435869455337524, 0.9288550615310669, 0.983124315738678, 0.9610264897346497, 0.9256556630134583, 0.9380604028701782, 0.942001461982727, 0.970646858215332, 0.9588302373886108, 0.9790993928909302, 0.9799498319625854, 0.974433422088623, 0.9917154312133789, 0.978408694267273, 0.9538227319717407, 0.9235044121742249, 0.9225058555603027, 0.9402821063995361, 0.9582962989807129, 0.9402728080749512, 0.9635921120643616, 0.9939186573028564, 0.9917064309120178, 0.9094703197479248, 0.9344637393951416, 0.9474692940711975, 0.9753241539001465, 0.9479435682296753, 0.9687134027481079, 0.9753021001815796, 0.9449305534362793, 0.9116132259368896, 0.9181758165359497, 0.911687970161438, 0.9034729599952698, 0.944096028804779, 0.9210609793663025, 0.9814256429672241, 0.9800417423248291, 0.932819128036499, 0.9243813157081604, 0.9281511902809143, 0.9416636824607849, 0.9252819418907166, 0.9917737245559692, 0.9409836530685425, 0.9369467496871948, 0.979603111743927, 0.9634735584259033, 0.9882084727287292, 0.9847254753112793, 0.9759599566459656, 0.9313740730285645, 0.9135111570358276, 0.9565688967704773, 0.9410184621810913, 0.9748743176460266, 0.9818693399429321, 0.9796536564826965, 0.9090214967727661, 0.9366122484207153, 0.9497990608215332, 0.9412733316421509, 0.913316547870636, 0.9121788740158081, 0.9175171256065369, 0.9659125208854675, 0.9280171990394592, 0.9743005633354187, 0.9838123321533203, 0.9035966396331787, 0.9185421466827393, 0.9056392312049866, 0.925951361656189, 0.9304668307304382, 0.9303639531135559, 0.9168136119842529, 0.9049938321113586, 0.9118506908416748, 0.9520358443260193, 0.9580074548721313]"
