date,binary_target_net_income,prob_down,prob_up,net_prob_score,window,cid,return_1q,year,decile_bin,decile_id
2023-05-12,0,0.99745023,0.0025497377,-0.99490047,2019-2024,SP-164169,-0.0423316622287636,2023,0,0
2023-05-10,0,0.9780881,0.021911904,-0.95617616,2019-2024,SP-166676,-0.0832401041818154,2023,0,0
2023-03-02,0,0.97185916,0.028140834,-0.9437183,2019-2024,SP-174395,-0.0409547175482142,2023,0,0
2023-05-12,0,0.9903577,0.009642299,-0.9807154,2019-2024,SP-174395,-0.6647822896721712,2023,0,0
2023-08-02,0,0.98438895,0.015611065,-0.9687779,2019-2024,SP-174395,-0.1471029764842329,2023,0,0
2023-07-26,0,0.9705092,0.029490907,-0.9410183,2019-2024,SP-176103,0.144963168558143,2023,0,0
2023-11-01,0,0.98075914,0.019240865,-0.9615183,2019-2024,SP-176103,-0.0347730694232701,2023,0,0
2023-05-11,0,0.97972506,0.020274963,-0.9594501,2019-2024,SP-178874,-0.1622348524863003,2023,0,0
2023-08-03,0,0.9926499,0.0073500522,-0.9852999,2019-2024,SP-178874,-0.06941491623374,2023,0,0
2023-11-13,0,0.97170305,0.028296933,-0.9434061,2019-2024,SP-178874,-0.1299270974100559,2023,0,0
2023-11-01,0,0.96698534,0.033014666,-0.9339707,2019-2024,SP-183187,0.0018589092234235,2023,0,0
2023-04-26,0,0.972499,0.027500983,-0.944998,2019-2024,SP-183791,-0.0346812058559499,2023,0,0
2023-11-02,0,0.97381365,0.026186313,-0.94762737,2019-2024,SP-183791,-0.2078456928735604,2023,0,0
2023-03-08,0,0.99470836,0.005291692,-0.98941666,2019-2024,SP-183855,0.2599964227166185,2023,0,0
2023-05-10,0,0.9975392,0.0024607505,-0.99507844,2019-2024,SP-183855,0.0810739489217366,2023,0,0
2023-08-02,0,0.9879529,0.012047114,-0.9759058,2019-2024,SP-183855,-0.0609250057025981,2023,0,0
2023-11-07,0,0.97514516,0.024854913,-0.95029026,2019-2024,SP-183855,0.0079160996026664,2023,0,0
2023-03-01,0,0.98373383,0.0162662,-0.9674676,2019-2024,SP-184651,0.4024455239698717,2023,0,0
2023-05-10,0,0.9891467,0.010853343,-0.97829336,2019-2024,SP-184651,-0.1163600122650676,2023,0,0
2023-07-26,0,0.9935894,0.0064105443,-0.98717886,2019-2024,SP-184651,0.4307405962468912,2023,0,0
2023-11-01,0,0.9667327,0.033267252,-0.9334654,2019-2024,SP-184651,0.0323866137058185,2023,0,0
2023-03-01,0,0.96707726,0.032922756,-0.9341545,2019-2024,SP-184905,0.0014049197360272,2023,0,0
2023-02-22,0,0.9703636,0.029636398,-0.94072723,2019-2024,SP-185230,-0.0052684011440044,2023,0,0
2023-07-27,0,0.96981466,0.030185353,-0.9396293,2019-2024,SP-185309,0.2532540396522679,2023,0,0
2023-03-01,0,0.97490036,0.025099624,-0.9498007,2019-2024,SP-185956,-0.1919577072387799,2023,0,0
2023-05-03,0,0.9876436,0.0123563465,-0.97528726,2019-2024,SP-185956,0.1358093255060776,2023,0,0
