date,binary_target_cash_operations,proba_class_0,proba_class_1,margin_proba,window,cid
2023-03-06,0,0.48531842,0.5146816,0.029363155,2019-2024,SP-011258
2023-05-01,0,0.13133174,0.86866826,0.7373365,2019-2024,SP-011258
2023-08-10,1,0.06911373,0.93088627,0.86177254,2019-2024,SP-011258
2023-11-06,1,0.0331524,0.9668476,0.9336952,2019-2024,SP-011258
2023-03-01,1,0.7221696,0.27783042,-0.44433916,2019-2024,SP-011443
2023-05-09,1,0.47439897,0.525601,0.05120206,2019-2024,SP-011443
2023-08-01,1,0.671715,0.32828498,-0.34343004,2019-2024,SP-011443
2023-11-21,0,0.7398962,0.26010382,-0.47979236,2019-2024,SP-011443
2023-03-16,1,0.7887561,0.21124394,-0.57751215,2019-2024,SP-012198
2023-05-09,0,0.7246187,0.27538136,-0.44923732,2019-2024,SP-012198
2023-08-10,0,0.51915616,0.48084384,-0.038312316,2019-2024,SP-012198
2023-11-08,0,0.9835458,0.01645425,-0.96709156,2019-2024,SP-012198
2023-02-14,0,0.90309644,0.09690353,-0.8061929,2019-2024,SP-013252
2023-05-10,0,0.9378321,0.062167894,-0.87566423,2019-2024,SP-013252
2023-08-09,0,0.8438644,0.15613563,-0.68772876,2019-2024,SP-013252
2023-12-19,0,0.4965765,0.5034235,0.006847024,2019-2024,SP-013252
2024-02-07,0,0.7250179,0.27498212,-0.45003578,2019-2024,SP-013252
2023-03-10,0,0.9135946,0.0864054,-0.8271892,2019-2024,SP-013971
2023-04-26,0,0.9751754,0.024824608,-0.95035076,2019-2024,SP-013971
2023-07-26,0,0.9178491,0.08215089,-0.83569825,2019-2024,SP-013971
2023-10-25,0,0.8947204,0.1052796,-0.78944075,2019-2024,SP-013971
2024-01-31,0,0.72044665,0.27955335,-0.4408933,2019-2024,SP-013971
2023-03-02,0,0.9693378,0.030662173,-0.93867564,2019-2024,SP-013992
2023-05-04,1,0.34813565,0.65186435,0.3037287,2019-2024,SP-013992
2023-08-10,1,0.41973293,0.5802671,0.16053414,2019-2024,SP-013992
2023-11-09,1,0.6390882,0.3609118,-0.27817643,2019-2024,SP-013992
2023-02-28,0,0.8969182,0.10308181,-0.79383636,2019-2024,SP-014042
2023-05-03,0,0.6753245,0.3246755,-0.350649,2019-2024,SP-014042
2023-07-27,1,0.124687195,0.8753128,0.7506256,2019-2024,SP-014042
2023-11-02,0,0.0638777,0.9361223,0.8722446,2019-2024,SP-014042
2023-11-03,0,0.031490147,0.96850985,0.9370197,2019-2024,SP-014042
2023-02-22,0,0.6188072,0.38119283,-0.23761436,2019-2024,SP-014062
2023-05-10,1,0.39445877,0.6055412,0.21108246,2019-2024,SP-014062
2023-08-09,0,0.4994825,0.5005175,0.001034975,2019-2024,SP-014062
2023-11-08,1,0.7939081,0.20609185,-0.58781624,2019-2024,SP-014062
2023-02-23,1,0.13609964,0.86390036,0.7278007,2019-2024,SP-014065
2023-02-24,1,0.056491077,0.9435089,0.88701785,2019-2024,SP-014065
2023-05-11,1,0.10127467,0.89872533,0.79745066,2019-2024,SP-014065
2023-08-03,1,0.08298808,0.9170119,0.83402383,2019-2024,SP-014065
2023-11-09,0,0.85117495,0.14882503,-0.7023499,2019-2024,SP-014065
2023-04-27,0,0.5857748,0.4142252,-0.17154959,2019-2024,SP-014078
2023-08-03,1,0.3024403,0.6975597,0.39511943,2019-2024,SP-014078
2023-11-02,0,0.6068955,0.3931045,-0.21379101,2019-2024,SP-014078
2024-02-08,0,0.6326216,0.3673784,-0.26524317,2019-2024,SP-014078
2023-03-14,0,0.9807222,0.019277787,-0.9614444,2019-2024,SP-014099
2023-05-09,0,0.9841236,0.015876405,-0.9682472,2019-2024,SP-014099
2023-08-03,0,0.9665967,0.033403277,-0.93319345,2019-2024,SP-014099
2023-02-14,1,0.048370004,0.95163,0.90326,2019-2024,SP-014118
2023-05-10,1,0.030100703,0.9698993,0.9397986,2019-2024,SP-014118
2023-08-03,1,0.21986264,0.78013736,0.5602747,2019-2024,SP-014118
2023-11-14,0,0.24124742,0.7587526,0.51750517,2019-2024,SP-014118
2023-03-16,1,0.7182288,0.2817712,-0.4364576,2019-2024,SP-014312
2023-09-14,1,0.91665405,0.083345935,-0.8333081,2019-2024,SP-014312
2023-12-14,1,0.934289,0.065711044,-0.86857796,2019-2024,SP-014312
2023-02-24,1,0.0060118437,0.99398816,0.9879763,2019-2024,SP-014326
